,g1_symbol,g2_symbol,conn
30653,ATP6V1A,SMN2,0.1080838938865498
32820,BAD,SMN2,0.5915642854822054
39867,BYSL,SMN2,0.1975063565032939
44381,CAMK2D,SMN2,0.5915642854822054
53989,CDC5L,SMN2,0.2511404985285161
60843,CENPB,SMN2,0.1080838938865498
68917,COL4A2,SMN2,0.1080838938865498
68964,COL4A5,SMN2,0.1080838938865498
72394,CRIP2,SMN2,0.1080838938865498
77996,CTBP2,SMN2,0.2511404985285161
87871,DLD,SMN2,0.4201912082140011
89132,DMPK,SMN2,0.1080838938865498
89607,DYNC1I1,SMN2,0.1080838938865498
90004,DNM2,SMN2,0.1080838938865498
96383,EEF1A1,SMN2,0.1080838938865498
99477,EHHADH,SMN2,0.1080838938865498
108822,ERH,SMN2,0.5747820684033044
109091,FBL,SMN2,0.8836877960510051
109955,ESR1,SMN2,0.4849947661924665
112008,ESR2,SMN2,0.4201912082140011
115664,EXT2,SMN2,0.1080838938865498
116091,EZH2,SMN2,0.1080838938865498
119978,FGB,SMN2,0.1080838938865498
126736,FUS,SMN2,0.5747820684033044
127380,FYN,SMN2,0.1080838938865498
129256,GAPDH,SMN2,0.1080838938865498
130786,GDF9,SMN2,0.147265801868792
140385,GSK3B,SMN2,0.2511404985285161
144213,H2AC8,SMN2,0.5747820684033044
146798,HADHB,SMN2,0.1080838938865498
147982,HTT,SMN2,0.1080838938865498
148892,HDAC1,SMN2,0.4201912082140011
155031,HNRNPA2B1,SMN2,0.5747820684033044
156190,HNRNPF,SMN2,0.5915642854822054
156617,HNRNPH1,SMN2,0.5747820684033044
157611,HNRNPH2,SMN2,0.8606552479172933
157770,HNRNPH3,SMN2,0.5747820684033044
160000,HNRNPU,SMN2,0.1080838938865498
161127,HOXC4,SMN2,0.1080838938865498
172148,SP110,SMN2,0.1080838938865498
182004,KIF5A,SMN2,0.1080838938865498
183280,KPNB1,SMN2,0.8420512470740161
202067,MECP2,SMN2,0.1080838938865498
202856,MAP3K5,SMN2,0.5790039657058368
205673,MKI67,SMN2,0.1080838938865498
208600,MPP1,SMN2,0.1080838938865498
209131,MSH2,SMN2,0.1080838938865498
